game,date,home_team,home_team_score,away_team,away_team_score,year,series_id,game_winner_column,game_winning_team,best_of_five_winner,best_of_seven_winner,best_of_seven_loser,series_too_long
Game 2,"Tue, April 25",Washington Wizards,89,Cleveland Cavaliers,84,2006,WashingtonWizards_ClevelandCavaliers_2006,home_team,Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,Washington Wizards,True
Game 3,"Fri, April 28",Cleveland Cavaliers,97,Washington Wizards,96,2006,WashingtonWizards_ClevelandCavaliers_2006,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Washington Wizards,True
Game 4,"Sun, April 30",Cleveland Cavaliers,96,Washington Wizards,106,2006,WashingtonWizards_ClevelandCavaliers_2006,away_team,Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,Washington Wizards,True
Game 5,"Wed, May 3",Washington Wizards,120,Cleveland Cavaliers,121,2006,WashingtonWizards_ClevelandCavaliers_2006,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Washington Wizards,True
Game 6,"Fri, May 5",Cleveland Cavaliers,114,Washington Wizards,113,2006,WashingtonWizards_ClevelandCavaliers_2006,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Washington Wizards,True
Game 1,"Sun, April 23",Milwaukee Bucks,74,Detroit Pistons,92,2006,MilwaukeeBucks_DetroitPistons_2006,away_team,Detroit Pistons,Detroit Pistons,Detroit Pistons,Milwaukee Bucks,True
Game 2,"Wed, April 26",Milwaukee Bucks,98,Detroit Pistons,109,2006,MilwaukeeBucks_DetroitPistons_2006,away_team,Detroit Pistons,Detroit Pistons,Detroit Pistons,Milwaukee Bucks,True
Game 3,"Sat, April 29",Detroit Pistons,104,Milwaukee Bucks,124,2006,MilwaukeeBucks_DetroitPistons_2006,away_team,Milwaukee Bucks,Detroit Pistons,Detroit Pistons,Milwaukee Bucks,True
Game 4,"Mon, May 1",Detroit Pistons,109,Milwaukee Bucks,99,2006,MilwaukeeBucks_DetroitPistons_2006,home_team,Detroit Pistons,Detroit Pistons,Detroit Pistons,Milwaukee Bucks,True
Game 5,"Wed, May 3",Milwaukee Bucks,93,Detroit Pistons,122,2006,MilwaukeeBucks_DetroitPistons_2006,away_team,Detroit Pistons,Detroit Pistons,Detroit Pistons,Milwaukee Bucks,True
Game 1,"Sat, April 22",Chicago Bulls,106,Miami Heat,111,2006,ChicagoBulls_MiamiHeat_2006,away_team,Miami Heat,Miami Heat,Miami Heat,Chicago Bulls,True
Game 2,"Mon, April 24",Chicago Bulls,108,Miami Heat,115,2006,ChicagoBulls_MiamiHeat_2006,away_team,Miami Heat,Miami Heat,Miami Heat,Chicago Bulls,True
Game 3,"Thu, April 27",Miami Heat,90,Chicago Bulls,109,2006,ChicagoBulls_MiamiHeat_2006,away_team,Chicago Bulls,Miami Heat,Miami Heat,Chicago Bulls,True
Game 4,"Sun, April 30",Miami Heat,87,Chicago Bulls,93,2006,ChicagoBulls_MiamiHeat_2006,away_team,Chicago Bulls,Miami Heat,Miami Heat,Chicago Bulls,True
Game 5,"Tue, May 2",Chicago Bulls,78,Miami Heat,92,2006,ChicagoBulls_MiamiHeat_2006,away_team,Miami Heat,Miami Heat,Miami Heat,Chicago Bulls,True
Game 6,"Thu, May 4",Miami Heat,113,Chicago Bulls,96,2006,ChicagoBulls_MiamiHeat_2006,home_team,Miami Heat,Miami Heat,Miami Heat,Chicago Bulls,True
Game 1,"Sun, April 23",Indiana Pacers,90,New Jersey Nets,88,2006,IndianaPacers_NewJerseyNets_2006,home_team,Indiana Pacers,New Jersey Nets,New Jersey Nets,Indiana Pacers,True
Game 2,"Tue, April 25",Indiana Pacers,75,New Jersey Nets,90,2006,IndianaPacers_NewJerseyNets_2006,away_team,New Jersey Nets,New Jersey Nets,New Jersey Nets,Indiana Pacers,True
Game 3,"Thu, April 27",New Jersey Nets,95,Indiana Pacers,107,2006,IndianaPacers_NewJerseyNets_2006,away_team,Indiana Pacers,New Jersey Nets,New Jersey Nets,Indiana Pacers,True
Game 4,"Sat, April 29",New Jersey Nets,97,Indiana Pacers,88,2006,IndianaPacers_NewJerseyNets_2006,home_team,New Jersey Nets,New Jersey Nets,New Jersey Nets,Indiana Pacers,True
Game 5,"Tue, May 2",Indiana Pacers,86,New Jersey Nets,92,2006,IndianaPacers_NewJerseyNets_2006,away_team,New Jersey Nets,New Jersey Nets,New Jersey Nets,Indiana Pacers,True
Game 6,"Thu, May 4",New Jersey Nets,96,Indiana Pacers,90,2006,IndianaPacers_NewJerseyNets_2006,home_team,New Jersey Nets,New Jersey Nets,New Jersey Nets,Indiana Pacers,True
Game 1,"Sun, April 23",Memphis Grizzlies,93,Dallas Mavericks,103,2006,MemphisGrizzlies_DallasMavericks_2006,away_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,True
Game 2,"Wed, April 26",Memphis Grizzlies,79,Dallas Mavericks,94,2006,MemphisGrizzlies_DallasMavericks_2006,away_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,True
Game 3,"Sat, April 29",Dallas Mavericks,94,Memphis Grizzlies,89,2006,MemphisGrizzlies_DallasMavericks_2006,home_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,True
Game 4,"Mon, May 1",Dallas Mavericks,102,Memphis Grizzlies,76,2006,MemphisGrizzlies_DallasMavericks_2006,home_team,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,True
Game 1,"Sat, April 22",Denver Nuggets,87,Los Angeles Clippers,89,2006,DenverNuggets_LosAngelesClippers_2006,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Denver Nuggets,True
Game 2,"Mon, April 24",Denver Nuggets,87,Los Angeles Clippers,98,2006,DenverNuggets_LosAngelesClippers_2006,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Denver Nuggets,True
Game 3,"Thu, April 27",Los Angeles Clippers,87,Denver Nuggets,94,2006,DenverNuggets_LosAngelesClippers_2006,away_team,Denver Nuggets,Los Angeles Clippers,Los Angeles Clippers,Denver Nuggets,True
Game 4,"Sat, April 29",Los Angeles Clippers,100,Denver Nuggets,86,2006,DenverNuggets_LosAngelesClippers_2006,home_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Denver Nuggets,True
Game 5,"Mon, May 1",Denver Nuggets,83,Los Angeles Clippers,101,2006,DenverNuggets_LosAngelesClippers_2006,away_team,Los Angeles Clippers,Los Angeles Clippers,Los Angeles Clippers,Denver Nuggets,True
Game 1,"Sun, April 23",Los Angeles Lakers,102,Phoenix Suns,107,2006,LosAngelesLakers_PhoenixSuns_2006,away_team,Phoenix Suns,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,False
Game 2,"Wed, April 26",Los Angeles Lakers,99,Phoenix Suns,93,2006,LosAngelesLakers_PhoenixSuns_2006,home_team,Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,False
Game 3,"Fri, April 28",Phoenix Suns,92,Los Angeles Lakers,99,2006,LosAngelesLakers_PhoenixSuns_2006,away_team,Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,False
Game 4,"Sun, April 30",Phoenix Suns,98,Los Angeles Lakers,99,2006,LosAngelesLakers_PhoenixSuns_2006,away_team,Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,False
Game 5,"Tue, May 2",Los Angeles Lakers,97,Phoenix Suns,114,2006,LosAngelesLakers_PhoenixSuns_2006,away_team,Phoenix Suns,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,False
Game 6,"Thu, May 4",Phoenix Suns,126,Los Angeles Lakers,118,2006,LosAngelesLakers_PhoenixSuns_2006,home_team,Phoenix Suns,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,False
Game 7,"Sat, May 6",Los Angeles Lakers,90,Phoenix Suns,121,2006,LosAngelesLakers_PhoenixSuns_2006,away_team,Phoenix Suns,Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,False
Game 1,"Sat, April 22",Sacramento Kings,88,San Antonio Spurs,122,2006,SacramentoKings_SanAntonioSpurs_2006,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Sacramento Kings,True
Game 2,"Tue, April 25",Sacramento Kings,119,San Antonio Spurs,128,2006,SacramentoKings_SanAntonioSpurs_2006,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Sacramento Kings,True
Game 3,"Fri, April 28",San Antonio Spurs,93,Sacramento Kings,94,2006,SacramentoKings_SanAntonioSpurs_2006,away_team,Sacramento Kings,San Antonio Spurs,San Antonio Spurs,Sacramento Kings,True
Game 4,"Sun, April 30",San Antonio Spurs,84,Sacramento Kings,102,2006,SacramentoKings_SanAntonioSpurs_2006,away_team,Sacramento Kings,San Antonio Spurs,San Antonio Spurs,Sacramento Kings,True
Game 5,"Tue, May 2",Sacramento Kings,98,San Antonio Spurs,109,2006,SacramentoKings_SanAntonioSpurs_2006,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Sacramento Kings,True
Game 6,"Fri, May 5",San Antonio Spurs,105,Sacramento Kings,83,2006,SacramentoKings_SanAntonioSpurs_2006,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Sacramento Kings,True
Game 1,"Sat, April 21",Miami Heat,91,Chicago Bulls,96,2007,MiamiHeat_ChicagoBulls_2007,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Chicago Bulls,True
Game 2,"Tue, April 24",Miami Heat,89,Chicago Bulls,107,2007,MiamiHeat_ChicagoBulls_2007,away_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Chicago Bulls,True
Game 3,"Fri, April 27",Chicago Bulls,104,Miami Heat,96,2007,MiamiHeat_ChicagoBulls_2007,home_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Chicago Bulls,True
Game 4,"Sun, April 29",Chicago Bulls,92,Miami Heat,79,2007,MiamiHeat_ChicagoBulls_2007,home_team,Chicago Bulls,Chicago Bulls,Chicago Bulls,Chicago Bulls,True
Game 1,"Sun, April 22",Washington Wizards,82,Cleveland Cavaliers,97,2007,WashingtonWizards_ClevelandCavaliers_2007,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 2,"Wed, April 25",Washington Wizards,102,Cleveland Cavaliers,109,2007,WashingtonWizards_ClevelandCavaliers_2007,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 3,"Sat, April 28",Cleveland Cavaliers,98,Washington Wizards,92,2007,WashingtonWizards_ClevelandCavaliers_2007,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 4,"Mon, April 30",Cleveland Cavaliers,97,Washington Wizards,90,2007,WashingtonWizards_ClevelandCavaliers_2007,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 1,"Sat, April 21",Orlando Magic,92,Detroit Pistons,100,2007,OrlandoMagic_DetroitPistons_2007,away_team,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,True
Game 2,"Mon, April 23",Orlando Magic,90,Detroit Pistons,98,2007,OrlandoMagic_DetroitPistons_2007,away_team,Detroit Pistons,Detroit Pistons,Detroit Pistons,Detroit Pistons,True
